4911-Centrize
(x,y,z,r)
(-11.03005, 7.69829, 10.28130, 16.93017)
(3.95164, 5.89443, -15.41118, 16.96656)
(-8.38181, -14.61174, -2.04360, 16.96862)
(16.28508, 4.28060, -2.38634, 17.00653)
(7.47012, -14.61174, -4.49159, 17.01411)
(-8.38181, -7.77635, -12.60057, 17.01472)
(1.30340, -11.19404, 12.74917, 17.01608)
(13.63684, 2.47674, 9.93856, 17.05499)
(-0.91169, 17.01042, -1.25670, 17.08112)
(-0.91169, 0.00000, -17.09216, 17.11646)
(-7.07841, -0.07806, -15.68685, 17.21009)
(-0.91169, -17.16653, -1.25670, 17.23660)
(-17.19677, -0.94096, 1.12963, 17.25950)
(-11.03005, 7.69829, -10.83264, 17.27055)
(0.00000, -13.67078, -10.55697, 17.27252)
(0.00000, -13.67078, 10.55697, 17.27252)
(0.00000, 13.67078, -10.55697, 17.27252)
(0.00000, 13.67078, 10.55697, 17.27252)
(-4.86333, -16.22558, 3.59751, 17.31656)
(13.63684, -4.35866, 9.93856, 17.42803)
(-8.38181, 12.72982, 8.51337, 17.45796)
(-7.07841, -0.07806, 15.98405, 17.48142)
(10.11836, -12.80788, -6.25952, 17.48155)
(7.47012, -14.61174, 6.06538, 17.49556)
(-6.16672, 13.59272, -9.15167, 17.50838)
(6.16672, 13.59272, 9.15166, 17.50838)
(5.25504, -10.25308, -13.21898, 17.53518)
(5.25504, 10.25309, -13.21898, 17.53518)
(7.47012, 11.11598, 11.34387, 17.55139)
(16.28508, 5.89443, 2.89215, 17.55884)
(17.58848, -0.07806, -0.19413, 17.58973)
(-14.54853, 0.86290, 9.91867, 17.62908)
(-6.16672, -13.74884, -9.15167, 17.62986)
(6.16672, -13.74884, 9.15166, 17.62986)
(13.63684, -11.19404, -0.61841, 17.65368)
(-4.86333, -9.39019, 14.15448, 17.66852)
(3.95164, -7.77635, -15.41118, 17.70852)
(3.95164, 5.89443, 16.25973, 17.74087)
(11.42176, -6.83539, 11.76814, 17.76705)
(11.42176, 6.83539, 11.76814, 17.76705)
(-4.86333, -14.61174, 8.87599, 17.77465)
(13.63684, 2.47674, -11.17538, 17.80412)
(7.47012, 5.89443, -15.04856, 17.80466)
(0.00000, 17.01042, 5.27848, 17.81058)
(0.00000, 17.01042, -5.27849, 17.81058)
(-2.21509, 0.86290, 17.66503, 17.82427)
(11.42176, -13.67078, 1.21117, 17.85535)
(11.42176, 13.67078, 1.21117, 17.85535)
(10.11836, -11.19404, 9.57594, 17.87139)
(-17.19677, -2.55480, -4.14885, 17.87369)
(7.47012, -16.22558, 0.78690, 17.87991)
(-14.54853, 9.31213, 4.64019, 17.88594)
(-12.33345, 10.17503, 8.08909, 17.91866)
(12.33345, 10.17503, -8.08910, 17.91866)
(10.11836, 9.31213, -11.53800, 17.95055)
(0.00000, -17.16653, 5.27848, 17.95974)
(0.00000, -17.16653, -5.27849, 17.95974)
(10.11836, 0.86290, 14.85442, 17.99388)
(-12.33345, -10.33114, 8.08909, 18.00777)
(12.33345, -10.33114, -8.08910, 18.00777)
(16.28508, -0.94096, -7.66482, 18.02328)
(5.25504, -17.08847, -2.66201, 18.07533)
(5.25504, 17.08848, -2.66201, 18.07533)
(1.30340, 0.86290, 18.02766, 18.09530)
(13.63684, -4.35866, -11.17538, 18.16179)
(-12.33345, 0.00000, 13.36758, 18.18807)
(12.33345, 0.00000, -13.36758, 18.18808)
(-17.19677, 4.28060, -4.14885, 18.20070)
(1.30340, -18.02943, 2.19220, 18.20893)
(-17.19677, 5.89443, 1.12963, 18.21399)
(10.11836, 14.53368, 4.29746, 18.22298)
(1.30340, 16.14752, -8.36477, 18.23213)
(12.33345, 3.33964, 13.02484, 18.24592)
(-12.33345, 3.33964, -13.02485, 18.24592)
(-11.03005, 14.53368, -0.27567, 18.24735)
(7.47012, -0.94096, 16.62235, 18.24803)
(-13.24514, 3.33964, 12.11088, 18.25541)
(-2.21509, -18.02943, 1.82958, 18.25690)
(-14.54853, 9.31213, -5.91678, 18.25880)
(-12.33345, -3.49576, -13.02485, 18.27514)
(12.33345, -3.49576, 13.02484, 18.27514)
(16.28508, -7.77635, 2.89215, 18.27676)
(-13.24514, -3.49576, 12.11088, 18.28462)
(-4.86333, -16.22558, -6.95946, 18.31271)
(-4.86333, 12.72982, -12.23795, 18.31577)
(-4.86333, -2.55480, -17.51643, 18.35768)
(-14.54853, 0.86290, -11.19527, 18.37766)
(3.95164, 17.95138, 0.42427, 18.38606)
(16.28508, -2.55480, 8.17063, 18.39810)
(-0.91169, -6.83539, -17.09216, 18.43083)
(-0.91169, 6.83539, -17.09216, 18.43083)
(3.95164, -7.77635, 16.25973, 18.45172)
(-2.21509, 16.14752, -8.72739, 18.48827)
(-7.07841, 6.75733, -15.68685, 18.48899)
(-7.07841, -17.08847, 0.14860, 18.49708)
(-7.07841, 17.08848, 0.14860, 18.49708)
(7.47012, -7.77635, -15.04856, 18.51306)
(-17.19677, -2.55480, 6.40812, 18.52889)
(-7.07841, -6.91345, -15.68685, 18.54662)
(-8.38181, -16.22558, 3.23488, 18.54693)
(-6.16672, -17.08847, -3.87318, 18.57541)
(6.16672, -17.08847, 3.87318, 18.57541)
(-6.16672, 17.08848, -3.87318, 18.57541)
(6.16672, 17.08848, 3.87318, 18.57541)
(-14.54853, -5.97249, 9.91867, 18.59329)
(17.58848, -3.41770, 5.08435, 18.62488)
(17.58848, 3.41770, 5.08435, 18.62488)
(-12.33345, -13.67078, 2.81061, 18.62535)
(-12.33345, 13.67078, 2.81061, 18.62535)
(12.33345, -13.67078, -2.81061, 18.62535)
(12.33345, 13.67078, -2.81061, 18.62535)
(-6.16672, -3.41770, 17.24076, 18.62667)
(-6.16672, 3.41770, 17.24076, 18.62667)
(6.16672, -3.41770, -17.24076, 18.62667)
(6.16672, 3.41770, -17.24076, 18.62667)
(-4.86333, 11.11598, 14.15448, 18.64313)
(-8.38181, -9.39019, 13.79185, 18.67205)
(-4.86333, 4.28060, -17.51643, 18.67621)
(16.28508, 4.28060, 8.17063, 18.71595)
(17.58848, -3.41770, -5.47262, 18.73459)
(17.58848, 3.41770, -5.47262, 18.73459)
(-7.07841, 6.75733, 15.98405, 18.74181)
(-6.16672, -10.25308, -14.43015, 18.74522)
(6.16672, -10.25308, 14.43015, 18.74522)
(6.16672, 10.25309, 14.43015, 18.74522)
(-6.16672, 10.25309, -14.43015, 18.74523)
(1.30340, -12.80788, -13.64325, 18.75844)
(-2.21509, -5.97249, 17.66503, 18.77846)
(10.11836, 14.53368, -6.25952, 18.78272)
(-7.07841, -6.91345, 15.98405, 18.79866)
(0.00000, 10.17503, -15.83545, 18.82267)
(0.00000, 10.17503, 15.83545, 18.82267)
(17.58848, 6.75733, -0.19413, 18.84287)
(-18.50017, -3.41770, -1.06257, 18.84319)
(-18.50017, 3.41770, -1.06257, 18.84319)
(18.50017, -3.41770, 1.06257, 18.84319)
(18.50017, 3.41770, 1.06257, 18.84319)
(-17.19677, 4.28060, 6.40812, 18.84453)
(11.42176, 3.33964, -14.62428, 18.85416)
(-8.38181, -14.61174, 8.51337, 18.87419)
(11.42176, -3.49576, -14.62428, 18.88244)
(17.58848, -6.91345, -0.19413, 18.89942)
(-17.19677, -7.77635, 1.12963, 18.90705)
(0.00000, -10.33114, -15.83545, 18.90752)
(0.00000, -10.33114, 15.83545, 18.90752)
(-14.54853, -11.19404, 4.64019, 18.93404)
(16.28508, 5.89443, -7.66482, 18.93932)
(10.11836, -5.97249, 14.85442, 18.93953)
(-4.86333, 17.95138, 3.59751, 18.94323)
(16.28508, -9.39019, -2.38634, 18.94925)
(-13.24514, 10.17503, -9.00306, 18.97419)
(-18.50017, -0.07806, 4.21591, 18.97462)
(18.50017, -0.07806, -4.21592, 18.97462)
(10.11836, -11.19404, -11.53800, 18.99508)
(1.30340, -5.97249, 18.02766, 19.03591)
(-13.24514, -10.33114, -9.00306, 19.05836)
(10.11836, 16.14752, -0.98103, 19.08103)
(-2.21509, -12.80788, -14.00588, 19.10793)
(1.30340, 2.47674, -18.92174, 19.12760)
(-6.16672, 13.59272, 11.96227, 19.12816)
(6.16672, 13.59272, -11.96227, 19.12816)
(7.47012, 5.89443, 16.62235, 19.15332)
(-14.54853, 7.69829, 9.91867, 19.21727)
(5.25504, -0.07806, -18.49746, 19.22960)
(-11.03005, 2.47674, 15.55978, 19.23286)
(-6.16672, -13.74884, 11.96227, 19.23941)
(6.16672, -13.74884, -11.96227, 19.23942)
(13.63684, 9.31213, 9.93856, 19.27315)
(13.63684, -12.80788, 4.66008, 19.28008)
(-14.54853, -11.19404, -5.91678, 19.28665)
(-14.54853, -5.97249, -11.19527, 19.30452)
(-6.16672, -17.08847, 6.68379, 19.35762)
