6121-Centrize
(x,y,z,r)
(-9.45556, -2.67325, 4.88154, 10.97193)
(-0.74408, -7.04032, 8.38806, 10.97630)
(5.42265, -3.62262, -8.85270, 10.99540)
(-2.92007, -7.96665, 7.01577, 11.00978)
(-6.88872, 0.30800, -8.60782, 11.02923)
(-0.72200, -9.94508, -4.73464, 11.03824)
(-0.72200, 4.72353, -10.01312, 11.09485)
(-10.36873, 1.44801, -3.69650, 11.10277)
(10.40721, 1.30583, 3.69196, 11.11961)
(5.44473, 0.30800, 9.69551, 11.12398)
(0.64060, 10.99753, -1.70820, 11.14782)
(-3.28884, -6.09095, 8.75472, 11.16070)
(-6.88872, 8.14122, -3.32933, 11.17222)
(-9.08679, 6.16279, -2.13600, 11.18536)
(-5.89489, 2.74509, -9.12092, 11.20163)
(4.26256, 6.63047, -8.02544, 11.24901)
(1.55364, -6.66956, -8.96580, 11.28195)
(-0.72200, -2.11186, 11.10081, 11.32296)
(-4.61296, -10.08726, -2.28193, 11.32428)
(-5.89489, 9.58048, 1.43605, 11.34009)
(-9.45556, -2.67325, -5.67543, 11.34744)
(-4.20188, -1.96969, -10.38022, 11.37033)
(0.27183, -11.38434, 0.03074, 11.38763)
(4.24049, -2.11186, 10.37575, 11.40604)
(9.41338, -1.13126, -6.35181, 11.41214)
(-6.88872, -5.52956, 7.22763, 11.41355)
(-9.45556, 4.16214, 4.88154, 11.42630)
(-0.74408, 8.65415, -7.44740, 11.44166)
(-2.92007, -10.92569, 1.73718, 11.44182)
(0.27183, -4.54895, -10.52623, 11.47032)
(1.55364, 7.00122, -8.96580, 11.48113)
(4.26256, -7.04032, -8.02544, 11.49535)
(8.13157, -1.96969, 7.92311, 11.52292)
(-8.09296, -2.11186, -7.92758, 11.52400)
(0.27183, -4.54895, 10.58771, 11.52677)
(5.42265, 10.04816, 1.70427, 11.54449)
(6.43855, 2.74509, 9.18241, 11.54587)
(-0.72200, -9.94508, 5.82233, 11.54667)
(-1.92624, -6.52739, -9.33289, 11.55075)
(2.87789, 10.99753, 2.07093, 11.55494)
(5.44473, 8.14122, -6.13994, 11.55956)
(3.24666, 2.28644, 10.88895, 11.59042)
(-0.72200, 11.55892, 0.54385, 11.59421)
(-0.72200, 10.56109, -4.73464, 11.59632)
(-5.89489, -4.09030, -9.12092, 11.60480)
(-4.61296, 10.41891, -2.28193, 11.62068)
(6.43855, 9.58048, -1.37456, 11.62454)
(1.96472, -6.66956, 9.32834, 11.63448)
(-10.77980, 0.16583, 4.40179, 11.64506)
(3.24666, -4.54895, -10.22499, 11.65264)
(-8.07088, 6.63047, -5.21483, 11.67461)
(10.42929, 3.21277, -4.15226, 11.67618)
(-5.52612, 0.86939, 10.25407, 11.68075)
(-4.20188, -1.96969, 10.73372, 11.69394)
(0.64060, 11.12248, 3.57028, 11.69901)
(7.72049, -8.80508, 0.18595, 11.71196)
(0.64060, -9.38369, -6.98669, 11.71656)
(6.80732, -5.96600, 7.44346, 11.71913)
(10.42929, 5.23646, 1.12623, 11.72429)
(-8.07088, 6.63047, 5.34214, 11.73204)
(-8.09296, -3.10969, 7.90787, 11.73459)
(11.58937, 1.81876, 0.29897, 11.73502)
(4.24049, -2.11186, -10.73819, 11.73671)
(9.41338, 5.70413, 4.20516, 11.78271)
(-9.45556, 4.16214, -5.67543, 11.78734)
(10.42929, -3.62262, -4.15226, 11.79553)
